1,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SrfTreatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PropertyType,PropertyName,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PRIVATE,Display Name,Preset.Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PRIVATE,Albedo Modifier,Node.AlbedoModifierFilePath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PRIVATE,MRSA Modifier,Node.MRSAModifierFilePath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PRIVATE,AO Modifier,Node.AOModifierFilePath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Presets,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,10,10,10,10,10,10,10,10,6,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1
10,ID,Preset.Name,Node.AlbedoModifierFilePath,Node.MRSAModifierFilePath,Node.AOModifierFilePath,TG=Parent Node+CategoryPath,Material --> Abstract,Material --> Aggregates --> Asphalt,Material --> Aggregates --> Concrete,Material --> Aggregates --> Decomposed Granite,Material --> Aggregates --> Fiber-Cement,Material --> Aggregates --> Gravel,Material --> Aggregates --> Grout,Material --> Aggregates --> Gypsum,Material --> Aggregates --> Mortar,Material --> Aggregates --> Rammed Earth,Material --> Aggregates --> Sand,Material --> Aggregates --> Terrazzo,Material --> Fabric and Upholstery --> Carpet,Material --> Fabric and Upholstery --> Cotton,Material --> Fabric and Upholstery --> Felt,Material --> Fabric and Upholstery --> Leather,Material --> Fabric and Upholstery --> Silk,Material --> Fabric and Upholstery --> Velvet,Material --> Fabric and Upholstery --> Vinyl,Material --> Ceramic --> Clay,Material --> Ceramic --> Porcelain,Material --> Glass and Transparent --> Air,Material --> Glass and Transparent --> Glass Block,Material --> Glass and Transparent --> Glass,Material --> Glass and Transparent --> Mesh Fly Screen,Material --> Metal --> Aluminum,Material --> Metal --> Chrome,Material --> Metal --> Copper,Material --> Metal --> Iron,Material --> Metal --> Nickel,Material --> Metal --> Steel,Material --> Metal --> Tin,Material --> Metal --> Zinc,Material --> Spread --> Paint,Material --> Spread --> Plaster,Material --> Synthetic and Polymer --> Dimpled Plastic,Material --> Synthetic and Polymer --> Foam - Extruded Polystyrene,Material --> Synthetic and Polymer --> Foam - Polyethylene,Material --> Synthetic and Polymer --> Foam - Polyisocyanurate,Material --> Synthetic and Polymer --> Plastic,Material --> Synthetic and Polymer --> Rubber,Material --> Synthetic and Polymer --> Vinyl Composite,Material --> Stone --> Alabaster,Material --> Stone --> Basalt,Material --> Stone --> Granite,Material --> Stone --> Lava Stone,Material --> Stone --> Limestone,Material --> Stone --> Marble,Material --> Stone --> Onyx,Material --> Stone --> Quartzite,Material --> Stone --> Sandstone,Material --> Stone --> Slate,Material --> Stone --> Soapstone,Material --> Stone --> Travertine,Material --> Wood --> Ash,Material --> Wood --> Bamboo,Material --> Wood --> Beech,Material --> Wood --> Birch,Material --> Wood --> Cedar - Western Red,Material --> Wood --> Cedar - White,Material --> Wood --> Cherry,Material --> Wood --> Cypress - Bald,Material --> Wood --> Ipe,Material --> Wood --> Mahogany,Material --> Wood --> Maple,Material --> Wood --> Oak - Red,Material --> Wood --> Oak - White,Material --> Wood --> Redwood,Material --> Wood --> Spruce-Pine-Fir,Material --> Wood --> Sycamore,Material --> Wood --> Teak,Material --> Wood --> Walnut,Material --> Fibrous --> Cork,Material --> Fibrous --> Cementitious Wood Fiber,Material --> Fibrous --> Mineral Fiber,Material --> Fibrous --> Plywood,Material --> Fibrous --> Wood Fibers,Material --> Fibrous --> Wood Strands,Material --> Sitework --> Decomposed Granite,Material --> Sitework --> Grass,Material --> Sitework --> Gravel,Material --> Sitework --> Moss,Material --> Sitework --> Soil
11,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Standard,Standard,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
13,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,#REF!,Rough,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,#REF!,Aged,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,#REF!,Sealed,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,#REF!,Smooth,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,#REF!,Metal Plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
