TYPENAME,,0SrfTreatment,,SurfaceTreatment,,,,,
,,Definition,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,
PROPERTY,,DisplayText,,Name,,SurfaceTreatment.Name,,,
PROPERTY,,AssetPath,,,,Node.AlbedoModifierFilePath,,,
PROPERTY,,AssetPath,,,,Node.MRSAModifierFilePath,,,
PROPERTY,,AssetPath,,,,Node.AOModifierFilePath,,,
,,Presets,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,SurfaceTreatment.Name,Node.AlbedoModifierFilePath,Node.MRSAModifierFilePath,Node.AOModifierFilePath
PRESET,,0SrfTreatment-Standard,,0SrfTreatment,,Standard,,,
,,0SrfTreatment-Rough,,0SrfTreatment,,Rough,,,
,,0SrfTreatment-Aged,,0SrfTreatment,,Aged,,,
,,0SrfTreatment-Sealed,,0SrfTreatment,,Sealed,,,
,,0SrfTreatment-Smooth,,0SrfTreatment,,Smooth,,,
,,0SrfTreatment-Metal Plated,,0SrfTreatment,,Metal Plated,,,
,,0SrfTreatment-Brushed,,0SrfTreatment,,Brushed,,,
,,0SrfTreatment-Buff Polished,,0SrfTreatment,,Buff Polished,,,
,,0SrfTreatment-Sandblasted Metal,,0SrfTreatment,,Sandblasted Metal,,,
,,0SrfTreatment-Powder Coated,,0SrfTreatment,,Powder Coated,,,
,,0SrfTreatment-Blackened,,0SrfTreatment,,Blackened,,,
,,0SrfTreatment-Patina,,0SrfTreatment,,Patina,,,
,,0SrfTreatment-Rusted,,0SrfTreatment,,Rusted,,,
,,0SrfTreatment-Anodized,,0SrfTreatment,,Anodized,,,
,,0SrfTreatment-Glossy,,0SrfTreatment,,Glossy,,,
,,0SrfTreatment-Semi-Gloss,,0SrfTreatment,,Semi-Gloss,,,
,,0SrfTreatment-Satin,,0SrfTreatment,,Satin,,,
,,0SrfTreatment-Eggshell,,0SrfTreatment,,Eggshell,,,
,,0SrfTreatment-Matte,,0SrfTreatment,,Matte,,,
,,0SrfTreatment-Natural Cleft,,0SrfTreatment,,Natural Cleft,,,
,,0SrfTreatment-Polished,,0SrfTreatment,,Polished,,,
,,0SrfTreatment-Honed,,0SrfTreatment,,Honed,,,
,,0SrfTreatment-Flamed,,0SrfTreatment,,Flamed,,,
,,0SrfTreatment-Sandblasted Stone,,0SrfTreatment,,Sandblasted Stone,,,
,,0SrfTreatment-Leather,,0SrfTreatment,,Leather,,,
,,0SrfTreatment-Split-Face,,0SrfTreatment,,Split-Face,,,
,,0SrfTreatment-Tumbled,,0SrfTreatment,,Tumbled,,,
,,0SrfTreatment-Unfinished,,0SrfTreatment,,Unfinished,,,
,,0SrfTreatment-Linseed Oil,,0SrfTreatment,,Linseed Oil,,,
,,0SrfTreatment-Tung Oil,,0SrfTreatment,,Tung Oil,,,
,,0SrfTreatment-Danish Oil,,0SrfTreatment,,Danish Oil,,,
,,0SrfTreatment-Polyurethane,,0SrfTreatment,,Polyurethane,,,
,,0SrfTreatment-Shellac Lacquer,,0SrfTreatment,,Shellac Lacquer,,,
,,0SrfTreatment-Rein Varnish,,0SrfTreatment,,Rein Varnish,,,
,,0SrfTreatment-Back Painted,,0SrfTreatment,,Back Painted,,,
,,0SrfTreatment-Frosted,,0SrfTreatment,,Frosted,,,
,,0SrfTreatment-Fritted,,0SrfTreatment,,Fritted,,,
