1,C0,C1,C2,C8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DimThk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PropertyType,PropertyName,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,STRING,Name,Preset.Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DIMENSION,Thickness,Layer.Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Presets,,,,9,12,12,8,5,3,1,1,1,1,1,4,4,4,3,4,1,1,3,1,5,6,5,4,3,8,5,4,1,2,4,1,6,4,4,7,7,3,6,4,5,9,8,3,3,3,5,7,4,4,3,3,5,5,4,2,2,2,2,2
8,ID,Preset.Name,Layer.Thickness,TG=Parent Node+CategoryPath,Layer0D --> Abstract,Layer0D --> Mass --> CastInPlaceConcrete,Layer0D --> Mass --> PrecastConcrete,Layer0D --> Mass --> CrossLaminatedTimber,Layer0D --> Mass --> RammedEarth,Layer0D --> Membrane --> BitumenousFelt,Layer0D --> Membrane --> TPO,Layer0D --> Membrane --> PVC,Layer0D --> Membrane --> EPDMRubber,Layer0D --> Membrane --> EPDMRubber,Layer0D --> Membrane --> RubberizedAsphalt,Layer0D --> Roll --> Batt,Layer0D --> Roll --> Carpet,Layer0D --> Roll --> Cork,Layer0D --> Roll --> Felt,Layer0D --> Roll --> Foam,Layer0D --> Roll --> LathMetal,Layer0D --> Roll --> PlasticAdhesive,Layer0D --> Roll --> PlasticUnderlayment,Layer0D --> Roll --> Wallpaper,Layer0D --> Sitework --> Gravel,Layer0D --> Sitework --> Grass,Layer0D --> Sitework --> DecomposedGranite,Layer0D --> Sitework --> GeotextileFabric,Layer0D --> Sitework --> Sand,Layer0D --> Sitework --> Soil,Layer0D --> Spread --> Asphalt,Layer0D --> Spread --> Plaster,Layer0D --> Spread --> JointCompound,Layer0D --> Spread --> Paint,Layer0D --> Spread --> ThinsetCement,Layer0D --> Spread --> MasticResin,Layer0D --> Void --> Air,ModuleLWT --> Board and Panel --> Cement,ModuleLWT --> Board and Panel --> Cementitious Wood Fiber,ModuleLWT --> Board and Panel --> Foam,ModuleLWT --> Board and Panel --> Wood Fiber,ModuleLWT --> Board and Panel --> Gypsum,ModuleLWT --> Board and Panel --> MDF (Medium-Density Fiberboard),ModuleLWT --> Board and Panel --> Metal,ModuleLWT --> Board and Panel --> OSB (Oriented Strand Board),ModuleLWT --> Board and Panel --> Particle Board,ModuleLWT --> Board and Panel --> Plywood,ModuleLWT --> Plank --> Engineered Wood,ModuleLWT --> Plank --> Wood,ModuleLWT --> Tile --> Brick Veneer,ModuleLWT --> Tile --> Carpet,ModuleLWT --> Tile --> Clay,ModuleLWT --> Tile --> Cork,ModuleLWT --> Tile --> Glass,ModuleLWT --> Tile --> Laminate,ModuleLWT --> Tile --> Luxury Vinyl,ModuleLWT --> Tile --> Porcelain,ModuleLWT --> Tile --> Stone,ModuleLWT --> Tile --> Vinyl Composite,ModuleLWT --> Shingle --> Asphalt,ModuleLWT --> Shingle --> Clay,ModuleLWT --> Shingle --> Metal,ModuleLWT --> Shingle --> Stone,ModuleLWT --> Shingle --> Wood
9,0.01inT,Thin Coat (1/100in),0.01in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.02inT,Typical Coat (1/50in),0.02in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.03125inT,1/32in,0.03125in,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0625inT,1/16in,0.0625in,,,,,,,X,X,X,X,X,X,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.09375inT,3/32in,0.09375in,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,X,,,,,,,
14,0.125inT,1/8in,0.125in,,,,,,,X,,,,,,,,X,,X,X,,X,,,,,,,,,,,,X,,,,,,,,X,,,,X,,,,X,X,,X,,,X,X,,,,,,
15,0.1875inT,3/16in,0.1875in,,,,,,,X,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,
16,0.25inT,1/4in,0.25in,,,,,,,,,,,,,X,X,X,,X,,,,,X,,X,,,,X,,,,X,X,,,,,,,X,X,,,X,,,X,X,X,X,X,X,X,X,X,X,,,,,
17,0.3125inT,5/16in,0.3125in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,
