1,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RawMaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PropertyType,PropertyName,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,STRING,Name,Preset.Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PRIVATE,Material Key,Node.MaterialKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PRIVATE,Engine Material File Path,Node.EngineMaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PRIVATE,Texture Tiling Size,Node.TextureTilingSize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Presets,,,,,,1,1,4,1,1,0,1,3,1,1,1,2,2,1,1,3,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,10,1,2,6,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0,0,0,0
10,ID,Preset.Name,Node.MaterialKey,Node.EngineMaterial,Node.TextureTilingSize,TG=Parent Node+CategoryPath,Material --> Abstract,Material --> Aggregates --> Asphalt,Material --> Aggregates --> Concrete,Material --> Aggregates --> Decomposed Granite,Material --> Aggregates --> Fiber-Cement,Material --> Aggregates --> Gravel,Material --> Aggregates --> Grout,Material --> Aggregates --> Gypsum,Material --> Aggregates --> Mortar,Material --> Aggregates --> Rammed Earth,Material --> Aggregates --> Sand,Material --> Aggregates --> Terrazzo,Material --> Fabric and Upholstery --> Carpet,Material --> Fabric and Upholstery --> Cotton,Material --> Fabric and Upholstery --> Felt,Material --> Fabric and Upholstery --> Leather,Material --> Fabric and Upholstery --> Silk,Material --> Fabric and Upholstery --> Velvet,Material --> Fabric and Upholstery --> Vinyl,Material --> Ceramic --> Clay,Material --> Ceramic --> Porcelain,Material --> Glass and Transparent --> Air,Material --> Glass and Transparent --> Glass Block,Material --> Glass and Transparent --> Glass,Material --> Glass and Transparent --> Mesh Fly Screen,Material --> Metal --> Aluminum,Material --> Metal --> Chrome,Material --> Metal --> Copper,Material --> Metal --> Iron,Material --> Metal --> Nickel,Material --> Metal --> Steel,Material --> Metal --> Tin,Material --> Metal --> Zinc,Material --> Spread --> Paint,Material --> Spread --> Plaster,Material --> Synthetic and Polymer --> Dimpled Plastic,Material --> Synthetic and Polymer --> Foam - Extruded Polystyrene,Material --> Synthetic and Polymer --> Foam - Polyethylene,Material --> Synthetic and Polymer --> Foam - Polyisocyanurate,Material --> Synthetic and Polymer --> Plastic,Material --> Synthetic and Polymer --> Rubber,Material --> Synthetic and Polymer --> Vinyl Composite,Material --> Stone --> Alabaster,Material --> Stone --> Basalt,Material --> Stone --> Granite,Material --> Stone --> Lava Stone,Material --> Stone --> Limestone,Material --> Stone --> Marble,Material --> Stone --> Onyx,Material --> Stone --> Quartzite,Material --> Stone --> Sandstone,Material --> Stone --> Slate,Material --> Stone --> Soapstone,Material --> Stone --> Travertine,Material --> Wood --> Ash,Material --> Wood --> Bamboo,Material --> Wood --> Beech,Material --> Wood --> Birch,Material --> Wood --> Cedar - Western Red,Material --> Wood --> Cedar - White,Material --> Wood --> Cherry,Material --> Wood --> Cypress - Bald,Material --> Wood --> Ipe,Material --> Wood --> Mahogany,Material --> Wood --> Maple,Material --> Wood --> Oak - Red,Material --> Wood --> Oak - White,Material --> Wood --> Redwood,Material --> Wood --> Spruce-Pine-Fir,Material --> Wood --> Sycamore,Material --> Wood --> Teak,Material --> Wood --> Walnut,Material --> Fibrous --> Cork,Material --> Fibrous --> Cementitious Wood Fiber,Material --> Fibrous --> Mineral Fiber,Material --> Fibrous --> Plywood,Material --> Fibrous --> Wood Fibers,Material --> Fibrous --> Wood Strands,Material --> Sitework --> Decomposed Granite,Material --> Sitework --> Grass,Material --> Sitework --> Gravel,Material --> Sitework --> Moss,Material --> Sitework --> Soil
11,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Abstract,Abstract,Abstract,/Game/ShoppingData/Materials/Abstract/SceneUMaterial_Inst.SceneUMaterial_Inst,1,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Asphalt,Asphalt,Asphalt,/Game/ShoppingData/Materials/Asphalt/SceneUMaterial_Inst.SceneUMaterial_Inst,1,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Cement,Cement,Cement,/Game/ShoppingData/Materials/Cement/SceneUMaterial_Inst.SceneUMaterial_Inst,1,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Concrete-CoarseAggregate,"Concrete, Coarse Aggregate",Concrete-CoarseAggregate,/Game/ShoppingData/Materials/Concrete-CoarseAggregate/SceneUMaterial_Inst.SceneUMaterial_Inst,1,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Concrete-FineAggregate,"Concrete, Fine Aggregate",Concrete-FineAggregate,/Game/ShoppingData/Materials/Concrete-FineAggregate/SceneUMaterial_Inst.SceneUMaterial_Inst,1,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Concrete-NormalAggregate,"Concrete, Normal Aggregate",Concrete-NormalAggregate,/Game/ShoppingData/Materials/Concrete-NormalAggregate/SceneUMaterial_Inst.SceneUMaterial_Inst,1,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FibreCement,Fibre Cement,FibreCement,/Game/ShoppingData/Materials/FibreCement/SceneUMaterial_Inst.SceneUMaterial_Inst,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
