TYPENAME,,0DimThk,,Dimension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Dimension.Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Thickness,,Dimension.Thickness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,9,2,12,12,8,5,4,3,1,1,1,1,1,4,4,4,3,4,1,1,3,1,5,6,5,4,3,8,5,4,1,2,6,1,8,9,4,4,7,9,3,6,4,5,9,8,3,3,4,3,5,7,4,5,3,3,5,5,4,2,2,2,2,2
TAGPATHS,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Dimension.Name,Dimension.Thickness,DataType=ParentCategoryPath,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,Part_ModulePlanar_Board/Panel_Cement,Part_ModulePlanar_Board/Panel_Cementitious Wood Fiber,Part_ModulePlanar_Board/Panel_Foam,Part_ModulePlanar_Board/Panel_Fiber Cement,Part_ModulePlanar_Board/Panel_Gypsum,Part_ModulePlanar_Board/Panel_MDF (Medium-Density Fiberboard),Part_ModulePlanar_Board/Panel_Metal,Part_ModulePlanar_Board/Panel_OSB (Oriented Strand Board),Part_ModulePlanar_Board/Panel_Particle Board,Part_ModulePlanar_Board/Panel_Plywood,Part_ModulePlanar_Plank_Engineered Wood,Part_ModulePlanar_Plank_Wood,Part_ModulePlanar_Tile_Acoustic Ceiling Tile,Part_ModulePlanar_Tile_Brick Veneer,Part_ModulePlanar_Tile_Carpet,Part_ModulePlanar_Tile_Clay,Part_ModulePlanar_Tile_Cork,Part_ModulePlanar_Tile_Glass,Part_ModulePlanar_Tile_Laminate,Part_ModulePlanar_Tile_Luxury Vinyl,Part_ModulePlanar_Tile_Porcelain,Part_ModulePlanar_Tile_Stone,Part_ModulePlanar_Tile_Vinyl Composite,Part_ModulePlanar_Shingle_Asphalt,Part_ModulePlanar_Shingle_Clay,Part_ModulePlanar_Shingle_Metal,Part_ModulePlanar_Shingle_Stone,Part_ModulePlanar_Shingle_Wood
PRESET,,0DimThk-0.01inT,,0DimThk,,Thin Coat (1/100in),0.01in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk-0.02inT,,0DimThk,,Typical Coat (1/50in),0.02in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk-0.03125inT,,0DimThk,,1/32in,0.03125in,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk-0.0625inT,,0DimThk,,1/16in,0.0625in,,,,,,,,,X,X,X,X,X,X,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk-0.09375inT,,0DimThk,,3/32in,0.09375in,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,X,,X,,,X,,,,,,,
PRESET,,0DimThk-0.125inT,,0DimThk,,1/8in,0.125in,,,,,,,,,X,,,,,,,,X,,X,X,,X,,,,,,,,,,,,X,,X,,,,,,,X,,,,X,,,,,X,X,,X,,,X,X,,,,,,
PRESET,,0DimThk-0.1875inT,,0DimThk,,3/16in,0.1875in,,,,,,,,,X,,,,,,,,X,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,
PRESET,,0DimThk-0.25inT,,0DimThk,,1/4in,0.25in,,,,,,,,,,,,,,,X,X,X,,X,,,,,X,,X,,,,X,,,,X,X,X,,,,,,,X,X,,,X,,,,X,X,X,X,X,X,X,X,X,X,,,,,
PRESET,,0DimThk-0.3125inT,,0DimThk,,5/16in,0.3125in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,
PRESET,,0DimThk-0.34375inT,,0DimThk,,11/32in,0.34375in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
PRESET,,0DimThk-0.375inT,,0DimThk,,3/8in,0.375in,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,X,,,,,X,,X,X,,,,X,,X,X,,X,X,X,,X,X,X,,X,X,X,X,X,X,X,X,X,X
