TYPENAME,,0DimWDWtFt,,Dimension,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Dimension.Name,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Width,,Dimension.Width,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Depth,,Dimension.Depth,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Web Thickness,,Dimension.WebThickness,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Flange Thickness,,Dimension.FlangeThickness,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Dimension.Name,Dimension.Width,Dimension.Depth,Dimension.WebThickness,Dimension.FlangeThickness,DataType=ParentCategoryPath,TG_ParentNode+CategoryPath,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-15.8inW-44inD-1.77inWt-1.03inFt,,0DimWDWtFt_WideFlangeSteel,,W44X335,15.8in,44in,1.77in,1.03in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-15.8inW-43.6inD-1.58inWt-0.865inFt,,0DimWDWtFt_WideFlangeSteel,,W44X290,15.8in,43.6in,1.58in,0.865in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-15.8inW-43.3inD-1.42inWt-0.785inFt,,0DimWDWtFt_WideFlangeSteel,,W44X262,15.8in,43.3in,1.42in,0.785in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-16.9inW-42.9inD-1.22inWt-0.71inFt,,0DimWDWtFt_WideFlangeSteel,,W44X230,16.9in,42.9in,1.22in,0.71in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-16.7inW-43.6inD-3.54inWt-1.97inFt,,0DimWDWtFt_WideFlangeSteel,,W40X655,16.7in,43.6in,3.54in,1.97in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-16.4inW-43inD-3.23inWt-1.79inFt,,0DimWDWtFt_WideFlangeSteel,,W40X593,16.4in,43in,3.23in,1.79in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-16.2inW-42.1inD-2.76inWt-1.54inFt,,0DimWDWtFt_WideFlangeSteel,,W40X503,16.2in,42.1in,2.76in,1.54in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-16.1inW-41.3inD-2.36inWt-1.34inFt,,0DimWDWtFt_WideFlangeSteel,,W40X431,16.1in,41.3in,2.36in,1.34in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-16.1inW-41inD-2.2inWt-1.22inFt,,0DimWDWtFt_WideFlangeSteel,,W40X397,16.1in,41in,2.2in,1.22in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-16inW-40.6inD-2.05inWt-1.16inFt,,0DimWDWtFt_WideFlangeSteel,,W40X372,16in,40.6in,2.05in,1.16in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-15.9inW-40.6inD-2.01inWt-1.12inFt,,0DimWDWtFt_WideFlangeSteel,,W40X362,15.9in,40.6in,2.01in,1.12in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-15.8inW-40.2inD-1.81inWt-1inFt,,0DimWDWtFt_WideFlangeSteel,,W40X324,15.8in,40.2in,1.81in,1in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-15.8inW-39.8inD-1.65inWt-0.93inFt,,0DimWDWtFt_WideFlangeSteel,,W40X297,15.8in,39.8in,1.65in,0.93in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
PRESET,,0DimWDWtFt_WideFlangeSteel-15.8inW-39.7inD-1.58inWt-0.83inFt,,0DimWDWtFt_WideFlangeSteel,,W40X277,15.8in,39.7in,1.58in,0.83in,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel W,,,,,,,,,,,,,,,
