TYPENAME,,2ModuleWDProfile,,Module,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Module.Name,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Width,,Module.Width,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Depth,,Module.Depth,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,,,Module.IconLength,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,PresetID,,Profile,,Module.Profile,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,PresetID,,Inner Material,,Module.InnerMaterial,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,PresetID,,Surface Material,,Module.SurfaceMaterial,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,HEXValue,,Color Tint,,Module.ColorTint,,,,,,,,,,,,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildMaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildProfile,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,0,1,1,1,1,4,2,1,1,4,1,6,4,1
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Module.Name,Module.Width,Module.Depth,Module.IconLength,Module.Profile,Module.InnerMaterial,Module.SurfaceMaterial,Module.ColorTint,DataType=InputPins,ChildMaterial,ChildDimWD,ChildProfile,DataType=TG_Parent Node+CategoryPath,Assembly_Layer_Corrugated Deck_Plastic,Assembly_Layer_Corrugated Deck_Steel,Assembly_Layer_Furring_Steel Hat Channel,Assembly_Layer_Furring_Steel Z Channel,Assembly_Layer_Furring_Wood Strips,Assembly_Layer_Joist_Wood,Assembly_Layer_Joist_Engineered Wood,Assembly_Layer_Joist_Wood Web Joist,"Assembly_Layer_Joist_Wood-Chord, Steel-Web Joist",Assembly_Layer_Joist_Steel C-Joist,Assembly_Layer_Joist_Steel Web Joist,Assembly_Layer_Stud_Wood,Assembly_Layer_Stud_Steel C-Channel,Assembly_Layer_Stud_Steel C-H Channel
PRESET,,"Part_ModuleLinear_Corrugated Plastic Sheet
1Material_Synthetic and Polymer_Plastic-0RawMaterial-Plastic-0Color_Abstract-6B6B6B-Gray6
0DimWD-0.5inW-0.5inD
0Profile-Corrugated Plastic",,Part_ModuleLinear_Corrugated Plastic Sheet,,"0.5in x 0.5in, Corrugated Plastic Sheet, Plastic, Gray 6",0.5in,0.5in,96in,0Profile-Corrugated Plastic,0RawMaterial-Plastic,-,EAEAEA,,1Material_Synthetic and Polymer_Plastic-0RawMaterial-Plastic-0Color_Abstract-6B6B6B-Gray6,0DimWD-0.5inW-0.5inD,0Profile-Corrugated Plastic,,X,,,,,,,,,,,,,
PRESET,,"Part_ModuleLinear_Corrugated Steel Deck
1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted
0DimWD-6inW-1.5inD
0Profile-Corrugated Steel",,Part_ModuleLinear_Corrugated Steel Deck,,"6in x 1.5in, Corrugated Steel Deck, Steel, Untinted",6in,1.5in,96in,0Profile-Corrugated Steel,0RawMaterial-Steel,-,EAEAEA,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWD-6inW-1.5inD,0Profile-Corrugated Steel,,,X,,,,,,,,,,,,
PRESET,,"Part_ModuleLinear_Steel C-Channel
1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted
0DimWD-1.625inW-1.625inD
0Profile-Steel C-Stud",,Part_ModuleLinear_Steel C-Channel,,"1.625in x 1.625in, Steel C-Channel, Steel, Untinted",1.625in,1.625in,96in,0Profile-Steel C-Stud,0RawMaterial-Steel,-,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWD-1.625inW-1.625inD,0Profile-Steel C-Stud,,,,,,,,,,,X,,,X,
PRESET,,"Part_ModuleLinear_Steel C-Channel
1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted
0DimWD-1.625inW-2inD
0Profile-Steel C-Stud",,Part_ModuleLinear_Steel C-Channel,,"1.625in x 2in, Steel C-Channel, Steel, Untinted",1.625in,2in,96in,0Profile-Steel C-Stud,0RawMaterial-Steel,-,FFFFFF,,1Material_Metal_Steel-0RawMaterial-Steel-0Color_Metal_Steel-FFFFFF-Untinted,0DimWD-1.625inW-2inD,0Profile-Steel C-Stud,,,,,,,,,,,X,,,X,
