TYPENAME,,2ModuleLWT,,Module,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Module.Name,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Length,,Module.Length,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Width,,Module.Width,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Thickness,,Module.Thickness,,,,,,,,,,,,,,,
PROPERTY,,Dimension,,Bevel Width,,Module.BevelWidth,,,,,,,,,,,,,,,
PROPERTY,,PresetID,,Inner Material,,Module.InnerMaterial,,,,,,,,,,,,,,,
PROPERTY,,PresetID,,Surface Material,,Module.SurfaceMaterial,,,,,,,,,,,,,,,
PROPERTY,,HexValue,,Color Tint,,Module.ColorTint,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildMaterial,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimLW,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildDimThk,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Module.Name,Module.Length,Module.Width,Module.Thickness,Module.BevelWidth,Module.InnerMaterial,Module.SurfaceMaterial,Module.ColorTint,DataType=InputPins,ChildMaterial,ChildDimLW,ChildDimThk,DataType=TG_MyNode+CategoryPath,TG_ParentNode+CategoryPath,,
PRESET,,"Board/Panel --> Cement
1Material --> Aggregates --> Cement-0RawMaterial-Cement-0Color --> Aggregates --> Cement-D6D7D8-Natural
0DimLW-60in-36in
0DimThk-0.375inT",,Board/Panel --> Cement,,"36in x 60in, 3/8in, Cement, Cement, Natural",60in,36in,0.375in,0.125in,0RawMaterial-Cement,-,D6D7D8,,1Material --> Aggregates --> Cement-0RawMaterial-Cement-0Color --> Aggregates --> Cement-D6D7D8-Natural,0DimLW-60in-36in,0DimThk-0.375inT,,3Layer2D,,
PRESET,,"Board/Panel --> Cementitious Wood Fiber
1Material --> Fibrous --> Cementitious Wood Fiber-0RawMaterial-Cementitious Wood Fiber-0Color --> Fibrous --> Cementitious Wood Fiber-FFFFFF-White
0DimLW-24in-24in
0DimThk-0.375inT",,Board/Panel --> Cementitious Wood Fiber,,"24in x 24in, 3/8in, Cementitious Wood Fiber, Cementitious Wood Fiber, White",24in,24in,0.375in,0.125in,0RawMaterial-Cementitious Wood Fiber,-,FFFFFF,,1Material --> Fibrous --> Cementitious Wood Fiber-0RawMaterial-Cementitious Wood Fiber-0Color --> Fibrous --> Cementitious Wood Fiber-FFFFFF-White,0DimLW-24in-24in,0DimThk-0.375inT,,3Layer2D,,
PRESET,,"Board/Panel --> Foam
1Material --> Synthetic and Polymer --> Foam - Extruded Polystyrene-0RawMaterial-Foam (Extruded Polystyrene)-0Color --> Synthetic and Polymer --> Foam - Extruded Polystyrene-ECB9BE-Pink
0DimLW-96in-48in
0DimThk-2inT",,Board/Panel --> Foam,,"48in x 96in, 2in, Foam, Foam (Extruded Polystyrene), Pink",96in,48in,2in,0.125in,0RawMaterial-Foam (Extruded Polystyrene),-,ECB9BE,,1Material --> Synthetic and Polymer --> Foam - Extruded Polystyrene-0RawMaterial-Foam (Extruded Polystyrene)-0Color --> Synthetic and Polymer --> Foam - Extruded Polystyrene-ECB9BE-Pink,0DimLW-96in-48in,0DimThk-2inT,,3Layer2D,,
PRESET,,"Board/Panel --> Foam
1Material --> Synthetic and Polymer --> Foam - Polyethylene-0RawMaterial-Foam (Polyethylene)-0Color --> Synthetic and Polymer --> Foam - Polyethylene-FAFAFA-White
0DimLW-96in-48in
0DimThk-1inT",,Board/Panel --> Foam,,"48in x 96in, 1in, Foam, Foam (Polyethylene), White",96in,48in,1in,0.125in,0RawMaterial-Foam (Polyethylene),-,FAFAFA,,1Material --> Synthetic and Polymer --> Foam - Polyethylene-0RawMaterial-Foam (Polyethylene)-0Color --> Synthetic and Polymer --> Foam - Polyethylene-FAFAFA-White,0DimLW-96in-48in,0DimThk-1inT,,3Layer2D,,
PRESET,,"Board/Panel --> Foam
1Material --> Synthetic and Polymer --> Foam - Polyisocyanurate-0RawMaterial-Foam (Polyisocyanurate)-0Color --> Synthetic and Polymer --> Foam - Polyisocyanurate-FAF1D0-Yellow
0DimLW-96in-48in
0DimThk-2inT",,Board/Panel --> Foam,,"48in x 96in, 2in, Foam, Foam (Polyisocyanurate), Yellow",96in,48in,2in,0.125in,0RawMaterial-Foam (Polyisocyanurate),-,FAF1D0,,1Material --> Synthetic and Polymer --> Foam - Polyisocyanurate-0RawMaterial-Foam (Polyisocyanurate)-0Color --> Synthetic and Polymer --> Foam - Polyisocyanurate-FAF1D0-Yellow,0DimLW-96in-48in,0DimThk-2inT,,3Layer2D,,
