TYPENAME,2Part0Slice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PropertyType,PropertyName,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,STRING,Name,Preset.Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,InputExtensibility,InputPreset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,1..1,ChildMaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,1..1,ChildMesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Presets,,,,,,,,,2,2,2,3,2,1,0,1,1,0,2,2,2,0,1,0,1,0,2,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2
TAGPATHS,ID,,,DataType=Properties,Preset.Name,DataType=InputPins,ChildMaterial,ChildMesh,DataType=TG_MyNode+CategoryPath,2Part0Slice --> Door --> Handle --> Knob,2Part0Slice --> Door --> Handle --> Lever,2Part0Slice --> Door --> Handle --> Pull,2Part0Slice --> Door --> Handle --> Lateral Pull,2Part0Slice --> Door --> Swing --> Hinge,2Part0Slice --> Door --> Lock --> Bolt,2Part0Slice --> Door --> Lock --> Latch,2Part0Slice --> Door --> Lock --> Surface Chain,2Part0Slice --> Door --> Lock --> Surface Bolt,2Part0Slice --> Door --> Lock --> Bolt,2Part0Slice --> Door --> Swing --> Mail Slot,2Part0Slice --> Door --> Swing --> Knocker,2Part0Slice --> Door --> Swing --> Bell,2Part0Slice --> Door --> Sliding --> Handle Set,2Part0Slice --> Door --> Folding --> Caster,2Part0Slice --> Door --> Folding --> Handle Set,2Part0Slice --> Door --> Folding --> Lock,2Part0Slice --> Door --> Pocket --> Handle Set,2Part0Slice --> Door --> Barn --> Caster,2Part0Slice --> Door --> Barn --> Handle Set,2Part0Slice --> Window --> Hinge,2Part0Slice --> Window --> Handle,2Part0Slice --> Window --> Lock,2Part0Slice --> Cabinet --> Hinge,2Part0Slice --> Cabinet --> Handle,2Part0Slice --> Cabinet --> Lock,2Part0Slice --> FF&E --> Plug-In Appliance,2Part0Slice --> FF&E --> Decoration --> Sculptural,2Part0Slice --> FF&E --> Light --> Recessed Can,2Part0Slice --> FF&E --> Light --> Sconce,2Part0Slice --> FF&E --> Faucet,2Part0Slice --> FF&E --> Plant --> Potted,2Part0Slice --> FF&E --> Plant --> Shrub,2Part0Slice --> FF&E --> Plant --> Tree
PRESET,"TraditionalKnobHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Traditional Knob Handle Set,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Traditional Knob Handle Set,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"ModernKnobHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Modern Knob Handle Set,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Knob Handle Set,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"TraditionalLeverHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Traditional Lever Handle Set,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Traditional Lever Handle Set,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"ModernLeverHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Modern Lever Handle Set,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Lever Handle Set,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"TraditionalPullHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Traditional Pull Handle Set,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Traditional Pull Handle Set,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,"ModernPullHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,Modern Pull Handle Set,,"1Material --> Metal --> Steel
0RawMaterial
Steel
0Color --> Metal --> Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",Modern Pull Handle Set,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
