TYPENAME,,AssemblyTemp,,Assembly,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Assembly.Name,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Assembly.Name,DataType=StartsInProject,x,DataType=Dimensions,Dimension,Value,DataType=Profile,Module.Profile,DataType=Material,AppliesToChannel,InnerMaterial,SurfaceMaterial,ColorTintVariation,ColorTint
PRESET,,2DD8FC2C-4D7D-8E47-896B-6138799EED90,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Concrete Rectangular-Diameter-6in-0Profile-Plate Section-Finish1-0RawMaterial-Concrete (Normal Aggregate)-D6D7D8,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Concrete Rectangular,,"6in, Concrete (Normal Aggregate), Natural",,X,,Diameter,6in,,0Profile-Plate Section,,Finish1,0RawMaterial-Concrete (Normal Aggregate),,0,D6D7D8
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,E39D559A-ED31-5449-BC9B-5503F80D1255,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Concrete Round-Diameter-12in-0Profile-Tube Steel-Finish1-0RawMaterial-Concrete (Normal Aggregate)-D6D7D8,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Concrete Round,,"12in, Concrete (Normal Aggregate), Natural",,X,,Diameter,12in,,0Profile-Tube Steel,,Finish1,0RawMaterial-Concrete (Normal Aggregate),,,D6D7D8
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,0,
PRESET,,D6A16AE0-E14D-6042-AF72-8443A6D86B78,,"Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel C-Width-1.75in-Depth-5in-WebThickness-0.325in-FlangeThickness-0.32in-0Profile-Channel, C-Finish1-0RawMaterial-Steel-FFFFFF",,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel C,,"C5X9, Steel, Untinted",,X,,Width,1.75in,,"0Profile-Channel, C",,Finish1,0RawMaterial-Steel,,0,FFFFFF
PRESET,,,,,,,,,,,,Depth,5in,,,,,,,,
PRESET,,,,,,,,,,,,WebThickness,0.325in,,,,,,,,
PRESET,,,,,,,,,,,,FlangeThickness,0.32in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,11ACA6CE-AEA2-7F49-9240-3C2BA2C44E2C,,"Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel HSS-Width-10in-Depth-12in-Thickness-0.233in-0Profile-Hollow Structural Section, HSS-Finish1-0RawMaterial-Steel-FFFFFF",,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel HSS,,"HSS12X10X1/4, Steel, Untinted",,X,,Width,10in,,"0Profile-Hollow Structural Section, HSS",,Finish1,0RawMaterial-Steel,,0,FFFFFF
PRESET,,,,,,,,,,,,Depth,12in,,,,,,,,
PRESET,,,,,,,,,,,,Thickness,0.233in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,4414DA2F-7AC4-0542-AEFC-613C7EB94E9C,,"Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel L-Width-4in-Depth-12in-WebThickness-0.28in-FlangeThickness-0.28in-0Profile-Angle, L-Finish1-0RawMaterial-Steel-FFFFFF",,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel L,,"HSS12X4X5/8, Steel, Untinted",,X,,Width,4in,,"0Profile-Angle, L",,Finish1,0RawMaterial-Steel,,0,FFFFFF
PRESET,,,,,,,,,,,,Depth,12in,,,,,,,,
PRESET,,,,,,,,,,,,WebThickness,0.28in,,,,,,,,
PRESET,,,,,,,,,,,,FlangeThickness,0.28in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
PRESET,,F6596108-40C1-1F4B-AEC9-E9BC72945F1A,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel Tube-Diameter-2in-Thickness-0.337in-0Profile-Tube Steel-Finish1-0RawMaterial-Aluminum-333333,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel Tube,,"2in x 2in, Aluminum",,X,,Diameter,2in,,0Profile-Tube Steel,,Finish1,0RawMaterial-Aluminum,,0,333333
PRESET,,,,,,,,,,,,Thickness,0.337in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,2in,,,,,,,,
PRESET,,4BAF5C40-2284-FA46-9CCB-CC34F06FDEBB,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel Tube-Diameter-4.5in-Thickness-0.337in-0Profile-Tube Steel-Finish1-0RawMaterial-Steel-FFFFFF,,Part_1FlexDim2Fixed_ExtrudedProfile_BeamColumn_Steel Tube,,"D4X0.337, Steel, Untinted",,X,,Diameter,4.5in,,0Profile-Tube Steel,,Finish1,0RawMaterial-Steel,,0,FFFFFF
PRESET,,,,,,,,,,,,Thickness,0.337in,,,,,,,,
PRESET,,,,,,,,,,,,IconLength,48in,,,,,,,,
