TYPENAME,,Assembly_Layer,,Layer,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Layer.Name,,,,,,,,,,,,,,,,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildLayerPattern,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..,,ChildModuleArray,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..,,ChildGapArray,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,,1..1,,ChildGapMaterial,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAGPATHS,DataType=ID,ID,DataType=TG_MyNode+CategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Layer.Name,DataType=Dimensions,Dimension,Value,UI Group,DataType=InputPins,ChildLayerPattern,ChildModuleArray,ChildGapArray,ChildGapMaterial,,DataType=TG_Parent Node+CategoryPath,x,DataType=FinalPartTransformAtSlot,LocationX,LocationY,LocationZ,SizeX,SizeY,SizeZ,RotationX,RotationY,RotationZ,FlipX,FlipY,FlipZ
PRESET,,"Assembly_Layer
Part_ModuleLinear_Corrugated Plastic Sheet-Width-0.5in-Depth-0.5in-0Profile-Corrugated Plastic-Finish1-0RawMaterial-Plastic---EAEAEA
1Material_Glass and Transparent_Air-0RawMaterial-Air-0Color_Glass and Transparent_Air-FFFFFF-Clear
0LayerPattern_0D-Continuous",,Assembly_Layer,,#N/A,,IconLength,64in,Preview,,0LayerPattern_0D-Continuous,Part_ModuleLinear_Corrugated Plastic Sheet-Width-0.5in-Depth-0.5in-0Profile-Corrugated Plastic-Finish1-0RawMaterial-Plastic---EAEAEA,,1Material_Glass and Transparent_Air-0RawMaterial-Air-0Color_Glass and Transparent_Air-FFFFFF-Clear,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,"Assembly_Layer
Part_ModuleLinear_Corrugated Steel Deck-Width-6in-Depth-1.5in-0Profile-Corrugated Steel-Finish1-0RawMaterial-Steel---EAEAEA
1Material_Glass and Transparent_Air-0RawMaterial-Air-0Color_Glass and Transparent_Air-FFFFFF-Clear
0LayerPattern_0D-Continuous",,Assembly_Layer,,#N/A,,IconLength,64in,Preview,,0LayerPattern_0D-Continuous,Part_ModuleLinear_Corrugated Steel Deck-Width-6in-Depth-1.5in-0Profile-Corrugated Steel-Finish1-0RawMaterial-Steel---EAEAEA,,1Material_Glass and Transparent_Air-0RawMaterial-Air-0Color_Glass and Transparent_Air-FFFFFF-Clear,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,"Assembly_Layer
Part_ModuleLinear_Steel Hat Channel-Width-1.25in-Depth-0.875in-0Profile-Steel Hat Channel-Finish1-0RawMaterial-Steel---FFFFFF
1Material_Glass and Transparent_Air-0RawMaterial-Air-0Color_Glass and Transparent_Air-FFFFFF-Clear
0LayerPattern_1D-24-Inch O.C.",,Assembly_Layer,,#N/A,,IconLength,64in,Preview,,0LayerPattern_1D-24-Inch O.C.,Part_ModuleLinear_Steel Hat Channel-Width-1.25in-Depth-0.875in-0Profile-Steel Hat Channel-Finish1-0RawMaterial-Steel---FFFFFF,,1Material_Glass and Transparent_Air-0RawMaterial-Air-0Color_Glass and Transparent_Air-FFFFFF-Clear,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,"Assembly_Layer
Part_ModuleLinear_Steel Hat Channel-Width-1.25in-Depth-0.875in-0Profile-Steel Hat Channel-Finish1-0RawMaterial-Steel---FFFFFF
1Material_Glass and Transparent_Air-0RawMaterial-Air-0Color_Glass and Transparent_Air-FFFFFF-Clear
0LayerPattern_1D-16-Inch O.C.",,Assembly_Layer,,#N/A,,IconLength,64in,Preview,,0LayerPattern_1D-16-Inch O.C.,Part_ModuleLinear_Steel Hat Channel-Width-1.25in-Depth-0.875in-0Profile-Steel Hat Channel-Finish1-0RawMaterial-Steel---FFFFFF,,1Material_Glass and Transparent_Air-0RawMaterial-Air-0Color_Glass and Transparent_Air-FFFFFF-Clear,,,,,-,-,-,-,-,-,-,-,-,-,-,-
PRESET,,,,,,,,IconHeight,48in,Preview,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-
