TYPENAME,3HardwareGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PropertyType,PropertyName,PropertyScope.Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROPERTY,STRING,Name,Preset.Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,InputExtensibility,InputPreset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INPUTPIN,1..,ChildPartArray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Presets,,,,,,,,,9,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,6,6,6,0,0,0,0,0,0,0,0,0,
TAGPATHS,ID,,,DataType=Properties,Preset.Name,DataType=InputPins,ChildPartCategory,ChildPartArray,DataType=TG_MyNode+CategoryPath,3HardwareGroup --> Door --> Swing --> Single --> Undefined,3HardwareGroup --> Door --> Swing --> Single --> Dummy,3HardwareGroup --> Door --> Swing --> Single --> Passage,3HardwareGroup --> Door --> Swing --> Single --> Privacy,3HardwareGroup --> Door --> Swing --> Single --> Secure Entry,3HardwareGroup --> Door --> Swing --> Single --> Secure Entry (Egressable),3HardwareGroup --> Door --> Swing --> Single --> Storeroom,3HardwareGroup --> Door --> Swing --> Single --> Office,3HardwareGroup --> Door --> Swing --> Single --> Classroom,3HardwareGroup --> Door --> Swing --> Single --> Classroom (Lockdown),3HardwareGroup --> Door --> Swing --> Single --> Institutional,3HardwareGroup --> Door --> Swing --> Pair --> Undefined,3HardwareGroup --> Door --> Swing --> Pair --> Dummy,3HardwareGroup --> Door --> Swing --> Pair --> Passage,3HardwareGroup --> Door --> Swing --> Pair --> Privacy,3HardwareGroup --> Door --> Swing --> Pair --> Secure Entry,3HardwareGroup --> Door --> Swing --> Pair --> Secure Entry (Egressable),3HardwareGroup --> Door --> Swing --> Pair --> Storeroom,3HardwareGroup --> Door --> Swing --> Pair --> Office,3HardwareGroup --> Door --> Swing --> Pair --> Classroom,3HardwareGroup --> Door --> Swing --> Pair --> Classroom (Lockdown),3HardwareGroup --> Door --> Swing --> Pair --> Institutional,3HardwareGroup --> Door --> Pivot --> Single --> Undefined,3HardwareGroup --> Door --> Pivot --> Single --> Dummy,3HardwareGroup --> Door --> Pivot --> Single --> Passage,3HardwareGroup --> Door --> Pivot --> Single --> Privacy,3HardwareGroup --> Door --> Pivot --> Single --> Secure Entry,3HardwareGroup --> Door --> Pivot --> Single --> Secure Entry (Egressable),3HardwareGroup --> Door --> Pivot --> Single --> Storeroom,3HardwareGroup --> Door --> Pivot --> Single --> Office,3HardwareGroup --> Door --> Pivot --> Single --> Classroom,3HardwareGroup --> Door --> Pivot --> Single --> Classroom (Lockdown),3HardwareGroup --> Door --> Pivot --> Single --> Institutional,3HardwareGroup --> Door --> Pivot --> Pair --> Undefined,3HardwareGroup --> Door --> Pivot --> Pair --> Dummy,3HardwareGroup --> Door --> Pivot --> Pair --> Passage,3HardwareGroup --> Door --> Pivot --> Pair --> Privacy,3HardwareGroup --> Door --> Pivot --> Pair --> Secure Entry,3HardwareGroup --> Door --> Pivot --> Pair --> Secure Entry (Egressable),3HardwareGroup --> Door --> Pivot --> Pair --> Storeroom,3HardwareGroup --> Door --> Pivot --> Pair --> Office,3HardwareGroup --> Door --> Pivot --> Pair --> Classroom,3HardwareGroup --> Door --> Pivot --> Pair --> Classroom (Lockdown),3HardwareGroup --> Door --> Pivot --> Pair --> Institutional,3HardwareGroup --> Door --> Pocket --> Single --> Undefined,3HardwareGroup --> Door --> Pocket --> Single --> Dummy,3HardwareGroup --> Door --> Pocket --> Single --> Passage,3HardwareGroup --> Door --> Pocket --> Single --> Privacy,3HardwareGroup --> Door --> Pocket --> Single --> Secure Entry,3HardwareGroup --> Door --> Pocket --> Single --> Secure Entry (Egressable),3HardwareGroup --> Door --> Pocket --> Single --> Storeroom,3HardwareGroup --> Door --> Pocket --> Single --> Office,3HardwareGroup --> Door --> Pocket --> Single --> Classroom,3HardwareGroup --> Door --> Pocket --> Single --> Classroom (Lockdown),3HardwareGroup --> Door --> Pocket --> Single --> Institutional,3HardwareGroup --> Door --> Pocket --> Pair --> Undefined,3HardwareGroup --> Door --> Pocket --> Pair --> Dummy,3HardwareGroup --> Door --> Pocket --> Pair --> Passage,3HardwareGroup --> Door --> Pocket --> Pair --> Privacy,3HardwareGroup --> Door --> Pocket --> Pair --> Secure Entry,3HardwareGroup --> Door --> Pocket --> Pair --> Secure Entry (Egressable),3HardwareGroup --> Door --> Pocket --> Pair --> Storeroom,3HardwareGroup --> Door --> Pocket --> Pair --> Office,3HardwareGroup --> Door --> Pocket --> Pair --> Classroom,3HardwareGroup --> Door --> Pocket --> Pair --> Classroom (Lockdown),3HardwareGroup --> Door --> Pocket --> Pair --> Institutional,3HardwareGroup --> Door --> Sliding --> Passage,3HardwareGroup --> Door --> Sliding --> Secure Entry,3HardwareGroup --> Door --> Folding --> Passage,3HardwareGroup --> Door --> Folding --> Secure Entry,3HardwareGroup --> Door --> Barn --> Passage,3HardwareGroup --> Door --> Barn --> Secure Entry,3HardwareGroup --> Door --> Overhead,3HardwareGroup --> Door --> Revolving,3HardwareGroup --> Window --> Fixed,3HardwareGroup --> Window --> Casement,3HardwareGroup --> Window --> Awning,3HardwareGroup --> Window --> Hopper,3HardwareGroup --> Window --> Double-Action,3HardwareGroup --> Window --> Jalousie,3HardwareGroup --> Cabinet --> Door,3HardwareGroup --> Cabinet --> Drawer,3HardwareGroup --> RailingPanel --> Glass,3HardwareGroup --> RailingPanel --> Solid,DataType=TG_Parent Node+CategoryPath,4RiggedAssembly --> Door --> Swing,4RiggedAssembly --> Door --> Pivot,4RiggedAssembly --> Door --> Pocket,4RiggedAssembly --> Door --> Barn,4RiggedAssembly --> Door --> Sliding,4RiggedAssembly --> Door --> Folding,4RiggedAssembly --> Door --> Overhead,4RiggedAssembly --> Door --> Revolving,4RiggedAssembly --> Window --> Fixed,4RiggedAssembly --> Window --> Casement,4RiggedAssembly --> Window --> Awning,4RiggedAssembly --> Window --> Hopper,4RiggedAssembly --> Window --> Double-Action,4RiggedAssembly --> Window --> Jalousie,4RiggedAssembly --> CabinetFace,
PRESET,PassageSwingDoor,,,,Passage Swing Door,,Hinge Set,"TraditionalKnobHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
PRESET,,,,,,,Hinge,"TraditionalKnobHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESET,,,,,,,Handle Set,"TraditionalLeverHandleSet-1Material-->Metal-->Steel
0RawMaterial
Steel
0Color-->Metal-->Aluminum
FFFFFF-PureWhite
0SrfTreatment
Standard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
