TYPENAME,,Assembly_2FlexDims1Fixed_PlanarGroup,,Assembly,,,,,,,,,,,,
,,Definition,,,,,,,,,,,,,,
,,PropertyType,,PropertyName,,Scope.Property,,,,,,,,,,
PROPERTY,,DisplayText,,Name,,Assembly.Name,,,,,,,,,,
,,InputExtensibility,,InputPreset,,,,,,,,,,,,
INPUTPIN,,1..,,ChildLayerArray,,,,,,,,,,,,
,,Presets,,,,,,,,,,,,,,
TAGPATHS,DataType=GUID,GUID,DataType=ID,ID,DataType=MyCategoryPath,TG_MyNode+CategoryPath,DataType=Properties,Assembly.Name,DataType=Dimensions,Dimension,Value,DataType=StartsInProject,X,DataType=InputPins,ChildLayerArray,
PRESET,,C454BCFC-5CD8-8B4F-906A-D11B79E88841,,"Assembly_2FlexDims1Fixed_PlanarGroup_Wall
Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-6in-Finish1-0RawMaterial-Abstract-FFFFFF-79E6805A-250F-444A-82A1-CBE35C018F7D
C454BCFC-5CD8-8B4F-906A-D11B79E88841",,Assembly_2FlexDims1Fixed_PlanarGroup_Wall,,"6"" Abstract",,IconLength,48in,,X,,Assembly_2FlexDims1Fixed_PlanarPattern-Thickness-6in-Finish1-0RawMaterial-Abstract-FFFFFF-79E6805A-250F-444A-82A1-CBE35C018F7D,
PRESET,,,,,,,,,,IconHeight,64in,,,,,
PRESET,,00E974E8-F829-0247-B557-E64B606209CA,,"Assembly_2FlexDims1Fixed_PlanarGroup_Wall
Assembly_2FlexDims1Fixed_PlanarPattern
Part_0FlexDims3Fixed_ModulePlanar_Board/Panel_Gypsum-Length-96in-Width-48in-Thickness-0.625in-BevelWidth-oin-Finish1-0RawMaterial-Gypsum (Type X)-D6D7D1
0LayerPattern_2D-Soldier Bond
Part_1FlexDim2Fixed_Gap2D-Width-0in-Recess-0in-Finish1-0RawMaterial-Air-FFFFFF
CAB213E5-892C-FA44-B4B9-2021AEDCE20A
00E974E8-F829-0247-B557-E64B606209CA",,Assembly_2FlexDims1Fixed_PlanarGroup_Wall,,2x4 Interior Wood Stud,,IconLength,48in,,X,,"Assembly_2FlexDims1Fixed_PlanarPattern
Part_0FlexDims3Fixed_ModulePlanar_Board/Panel_Gypsum-Length-96in-Width-48in-Thickness-0.625in-BevelWidth-oin-Finish1-0RawMaterial-Gypsum (Type X)-D6D7D1
0LayerPattern_2D-Soldier Bond
Part_1FlexDim2Fixed_Gap2D-Width-0in-Recess-0in-Finish1-0RawMaterial-Air-FFFFFF
CAB213E5-892C-FA44-B4B9-2021AEDCE20A",
